"","level","Overall","0","1","p","test","Missing"
"n","","243","201","42","","",""
"ua_epi_cells_hrs (%)","0","158 (79.4)","128 (77.6)","30 (88.2)","0.243","","18.1"
"","1","41 (20.6)","37 (22.4)","4 (11.8)","","",""
"location_terli_day0 (%)","1","136 (58.4)","109 (57.1)","27 (64.3)","0.668","","4.1"
"","2","42 (18.0)","36 (18.8)","6 (14.3)","","",""
"","3","55 (23.6)","46 (24.1)","9 (21.4)","","",""
"terli_route_day0 (%)","1","207 (85.2)","169 (84.1)","38 (90.5)","0.411","","0.0"
"","2","36 (14.8)","32 (15.9)","4 (9.5)","","",""
"tele_terli_day0 (%)","0","65 (29.3)","52 (28.7)","13 (31.7)","0.851","","8.6"
"","1","157 (70.7)","129 (71.3)","28 (68.3)","","",""
"he_terli_day0 (%)","0","161 (66.8)","129 (64.8)","32 (76.2)","0.508","","0.8"
"","1","54 (22.4)","46 (23.1)","8 (19.0)","","",""
"","2","20 (8.3)","19 (9.5)","1 (2.4)","","",""
"","3","5 (2.1)","4 (2.0)","1 (2.4)","","",""
"","4","1 (0.4)","1 (0.5)","0 (0.0)","","",""
"infection_terli_day0 (%)","0","161 (67.9)","132 (67.3)","29 (70.7)","0.812","","2.5"
"","1","76 (32.1)","64 (32.7)","12 (29.3)","","",""
"typeinfection_terli_day0 (%)","1","6 (7.9)","5 (7.8)","1 (8.3)","0.446","","68.7"
"","2","7 (9.2)","6 (9.4)","1 (8.3)","","",""
"","3","12 (15.8)","8 (12.5)","4 (33.3)","","",""
"","4","28 (36.8)","24 (37.5)","4 (33.3)","","",""
"","5","23 (30.3)","21 (32.8)","2 (16.7)","","",""
"hrs_responders (%)","0","109 (44.9)","83 (41.3)","26 (61.9)","0.013","","0.0"
"","1","62 (25.5)","51 (25.4)","11 (26.2)","","",""
"","2","72 (29.6)","67 (33.3)","5 (11.9)","","",""
"dosechange_terli_day1 (%)","0","177 (95.2)","157 (96.3)","20 (87.0)","0.150","","23.5"
"","1","9 (4.8)","6 (3.7)","3 (13.0)","","",""
"dosechange_terli_day2 (%)","0","157 (93.5)","139 (93.3)","18 (94.7)","1.000","","30.9"
"","1","11 (6.5)","10 (6.7)","1 (5.3)","","",""
"dosechange_terli_day3 (%)","0","110 (83.3)","101 (83.5)","9 (81.8)","1.000","","45.7"
"","1","22 (16.7)","20 (16.5)","2 (18.2)","","",""
"dosechange_terli_day4 (%)","0","60 (80.0)","56 (80.0)","4 (80.0)","1.000","","69.1"
"","1","15 (20.0)","14 (20.0)","1 (20.0)","","",""
"dosechange_terli_day5 (%)","0","54 (94.7)","52 (94.5)","2 (100.0)","1.000","","76.5"
"","1","3 (5.3)","3 (5.5)","0 (0.0)","","",""
"dosechange_terli_day6 (%)","0","38 (90.5)","37 (92.5)","1 (50.0)","0.445","","82.7"
"","1","4 (9.5)","3 (7.5)","1 (50.0)","","",""
"dosechange_terli_day7 (%)","0","32 (91.4)","31 (93.9)","1 (50.0)","0.393","","85.6"
"","1","3 (8.6)","2 (6.1)","1 (50.0)","","",""
"dosechange_terli_day8 (%)","0","21 (95.5)","20 (95.2)","1 (100.0)","1.000","","90.9"
"","1","1 (4.5)","1 (4.8)","0 (0.0)","","",""
"dosechange_terli_day9 (%)","0","17 (100.0)","16 (100.0)","1 (100.0)","NA","","93.0"
"dosechange_terli_day10 (%)","0","11 (91.7)","10 (90.9)","1 (100.0)","1.000","","95.1"
"","1","1 (8.3)","1 (9.1)","0 (0.0)","","",""
"dosechange_terli_day11 (%)","0","8 (88.9)","8 (88.9)","0 (NaN)","NaN","","96.3"
"","1","1 (11.1)","1 (11.1)","0 (NaN)","","",""
"dosechange_terli_day12 (%)","0","6 (100.0)","6 (100.0)","0 (NaN)","NA","","97.5"
"discont_aki_stage (%)","0","71 (29.2)","66 (32.8)","5 (11.9)","0.036","","0.0"
"","1","63 (25.9)","51 (25.4)","12 (28.6)","","",""
"","2","58 (23.9)","43 (21.4)","15 (35.7)","","",""
"","3","51 (21.0)","41 (20.4)","10 (23.8)","","",""
"aclf_grade (%)","1","49 (20.2)","44 (21.9)","5 (11.9)","0.093","","0.0"
"","2","85 (35.0)","73 (36.3)","12 (28.6)","","",""
"","3","109 (44.9)","84 (41.8)","25 (59.5)","","",""
"HRS_Criteria (%)","0","112 (46.1)","103 (51.2)","9 (21.4)","0.001","","0.0"
"","1","131 (53.9)","98 (48.8)","33 (78.6)","","",""
"criteria_1 (%)","0","215 (88.5)","186 (92.5)","29 (69.0)","<0.001","","0.0"
"","1","28 (11.5)","15 (7.5)","13 (31.0)","","",""
"criteria_2 (%)","0","134 (55.1)","117 (58.2)","17 (40.5)","0.053","","0.0"
"","1","109 (44.9)","84 (41.8)","25 (59.5)","","",""
"criteria_3 (%)","0","233 (95.9)","193 (96.0)","40 (95.2)","1.000","","0.0"
"","1","10 (4.1)","8 (4.0)","2 (4.8)","","",""
"criteria_4 (%)","0","230 (94.7)","191 (95.0)","39 (92.9)","0.849","","0.0"
"","1","13 (5.3)","10 (5.0)","3 (7.1)","","",""
"akin (%)","1","65 (27.9)","58 (30.2)","7 (17.1)","0.033","","4.1"
"","2","70 (30.0)","51 (26.6)","19 (46.3)","","",""
"","3","98 (42.1)","83 (43.2)","15 (36.6)","","",""
"transplant_slkt (%)","0","226 (93.0)","185 (92.0)","41 (97.6)","0.339","","0.0"
"","1","17 (7.0)","16 (8.0)","1 (2.4)","","",""
"transplant_lt (%)","0","172 (70.8)","138 (68.7)","34 (81.0)","0.133","","0.0"
"","1","43 (17.7)","36 (17.9)","7 (16.7)","","",""
"","2","23 (9.5)","23 (11.4)","0 (0.0)","","",""
"","3","5 (2.1)","4 (2.0)","1 (2.4)","","",""
"rrt (%)","0","163 (67.1)","132 (65.7)","31 (73.8)","0.417","","0.0"
"","1","75 (30.9)","64 (31.8)","11 (26.2)","","",""
"","2","5 (2.1)","5 (2.5)","0 (0.0)","","",""
"rrt_2 (%)","0","168 (69.1)","137 (68.2)","31 (73.8)","0.591","","0.0"
"","1","75 (30.9)","64 (31.8)","11 (26.2)","","",""
"rrt_modality (%)","1","16 (21.3)","16 (25.0)","0 (0.0)","0.141","","69.1"
"","2","59 (78.7)","48 (75.0)","11 (100.0)","","",""
"rrt_continuous (%)","0","14 (18.7)","14 (21.9)","0 (0.0)","0.200","","69.1"
"","1","60 (80.0)","49 (76.6)","11 (100.0)","","",""
"","2","1 (1.3)","1 (1.6)","0 (0.0)","","",""
"hd_discharge (%)","0","221 (93.2)","181 (92.8)","40 (95.2)","0.820","","2.5"
"","1","16 (6.8)","14 (7.2)","2 (4.8)","","",""
"disposition (%)","1","125 (51.4)","111 (55.2)","14 (33.3)","0.121","","0.0"
"","2","23 (9.5)","18 (9.0)","5 (11.9)","","",""
"","3","19 (7.8)","14 (7.0)","5 (11.9)","","",""
"","4","25 (10.3)","18 (9.0)","7 (16.7)","","",""
"","5","51 (21.0)","40 (19.9)","11 (26.2)","","",""
"liver_f (%)","0","133 (54.7)","115 (57.2)","18 (42.9)","0.126","","0.0"
"","1","110 (45.3)","86 (42.8)","24 (57.1)","","",""
"brain_f (%)","0","217 (89.3)","177 (88.1)","40 (95.2)","0.274","","0.0"
"","1","26 (10.7)","24 (11.9)","2 (4.8)","","",""
"coagulation_f (%)","0","133 (54.7)","117 (58.2)","16 (38.1)","0.027","","0.0"
"","1","110 (45.3)","84 (41.8)","26 (61.9)","","",""
"circulatory_f (%)","0","161 (66.3)","135 (67.2)","26 (61.9)","0.634","","0.0"
"","1","82 (33.7)","66 (32.8)","16 (38.1)","","",""
"respiratory_f (%)","0","230 (94.7)","191 (95.0)","39 (92.9)","0.849","","0.0"
"","1","13 (5.3)","10 (5.0)","3 (7.1)","","",""
"kidney_f (%)","0","6 (2.5)","6 (3.0)","0 (0.0)","0.557","","0.0"
"","1","237 (97.5)","195 (97.0)","42 (100.0)","","",""
"baseline_scr_120to365 (%)","0","113 (46.9)","91 (45.5)","22 (53.7)","0.434","","0.8"
"","1","128 (53.1)","109 (54.5)","19 (46.3)","","",""
"aki_events_previous90days (%)","1","73 (76.8)","58 (74.4)","15 (88.2)","0.113","","60.9"
"","2","17 (17.9)","16 (20.5)","1 (5.9)","","",""
"","3","3 (3.2)","3 (3.8)","0 (0.0)","","",""
"","5","1 (1.1)","1 (1.3)","0 (0.0)","","",""
"","N/A","1 (1.1)","0 (0.0)","1 (5.9)","","",""
"prbc_trans_before_terli (%)","0","158 (66.9)","135 (69.2)","23 (56.1)","0.149","","2.9"
"","1","78 (33.1)","60 (30.8)","18 (43.9)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","201 (100.0)","34 (81.0)","<0.001","","0.0"
"","1","8 (3.3)","0 (0.0)","8 (19.0)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","201 (100.0)","36 (85.7)","<0.001","","0.0"
"","1","6 (2.5)","0 (0.0)","6 (14.3)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","201 (100.0)","39 (92.9)","0.002","","0.0"
"","1","3 (1.2)","0 (0.0)","3 (7.1)","","",""
"terli_ae_volover (%)","0","235 (96.7)","201 (100.0)","34 (81.0)","<0.001","","0.0"
"","1","8 (3.3)","0 (0.0)","8 (19.0)","","",""
"terli_ae_brady (%)","0","237 (97.5)","201 (100.0)","36 (85.7)","<0.001","","0.0"
"","1","6 (2.5)","0 (0.0)","6 (14.3)","","",""
"terli_7 (%)","0","228 (93.8)","201 (100.0)","27 (64.3)","<0.001","","0.0"
"","1","15 (6.2)","0 (0.0)","15 (35.7)","","",""
"terli_8 (%)","0","240 (98.8)","201 (100.0)","39 (92.9)","0.002","","0.0"
"","1","3 (1.2)","0 (0.0)","3 (7.1)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","201 (100.0)","19 (45.2)","<0.001","","0.0"
"","1","23 (9.5)","0 (0.0)","23 (54.8)","","",""
"any_ae (%)","0","201 (82.7)","201 (100.0)","0 (0.0)","<0.001","","0.0"
"","1","42 (17.3)","0 (0.0)","42 (100.0)","","",""
"listed_transplant (%)","0","161 (66.3)","128 (63.7)","33 (78.6)","0.094","","0.0"
"","1","82 (33.7)","73 (36.3)","9 (21.4)","","",""
"dosechange_status (%)","0","196 (80.7)","159 (79.1)","37 (88.1)","0.260","","0.0"
"","1","47 (19.3)","42 (20.9)","5 (11.9)","","",""
"hrs_rebound (%)","0","172 (82.3)","136 (81.0)","36 (87.8)","0.422","","14.0"
"","1","37 (17.7)","32 (19.0)","5 (12.2)","","",""
"race_2 (%)","0","34 (14.0)","30 (14.9)","4 (9.5)","0.501","","0.0"
"","1","209 (86.0)","171 (85.1)","38 (90.5)","","",""
"HRS_reversal_new (%)","0","168 (69.1)","132 (65.7)","36 (85.7)","0.018","","0.0"
"","1","75 (30.9)","69 (34.3)","6 (14.3)","","",""
"hrs_responders_cat_2 (%)","0","109 (44.9)","83 (41.3)","26 (61.9)","0.023","","0.0"
"","1","134 (55.1)","118 (58.7)","16 (38.1)","","",""
"time_to_death_status_90days (%)","0","141 (58.0)","118 (58.7)","23 (54.8)","0.765","","0.0"
"","1","102 (42.0)","83 (41.3)","19 (45.2)","","",""
"time_to_death_status_90days_cmp (%)","0","87 (35.8)","70 (34.8)","17 (40.5)","0.304","","0.0"
"","1","99 (40.7)","80 (39.8)","19 (45.2)","","",""
"","2","57 (23.5)","51 (25.4)","6 (14.3)","","",""
"ckd_baseline (%)","0","127 (58.8)","108 (59.7)","19 (54.3)","0.686","","11.1"
"","1","89 (41.2)","73 (40.3)","16 (45.7)","","",""
"HRS_criteria_3 (%)","0","124 (51.0)","109 (54.2)","15 (35.7)","0.044","","0.0"
"","1","119 (49.0)","92 (45.8)","27 (64.3)","","",""
