"","level","Overall","0","1","p","test","Missing"
"n","","243","220","23","","",""
"ua_urea_hrs (%)","0","150 (63.6)","135 (63.4)","15 (65.2)","1.000","","2.9"
"","1","86 (36.4)","78 (36.6)","8 (34.8)","","",""
"ua_granularcasts_hrs (%)","0","149 (74.1)","134 (73.6)","15 (78.9)","0.819","","17.3"
"","1","52 (25.9)","48 (26.4)","4 (21.1)","","",""
"ua_epi_cells_hrs (%)","0","158 (79.4)","140 (77.8)","18 (94.7)","0.150","","18.1"
"","1","41 (20.6)","40 (22.2)","1 (5.3)","","",""
"location_terli_day0 (%)","1","136 (58.4)","120 (57.1)","16 (69.6)","0.207","","4.1"
"","2","42 (18.0)","37 (17.6)","5 (21.7)","","",""
"","3","55 (23.6)","53 (25.2)","2 (8.7)","","",""
"terli_route_day0 (%)","1","207 (85.2)","188 (85.5)","19 (82.6)","0.954","","0.0"
"","2","36 (14.8)","32 (14.5)","4 (17.4)","","",""
"tele_terli_day0 (%)","0","65 (29.3)","58 (29.1)","7 (30.4)","1.000","","8.6"
"","1","157 (70.7)","141 (70.9)","16 (69.6)","","",""
"he_terli_day0 (%)","0","161 (66.8)","145 (66.5)","16 (69.6)","0.553","","0.8"
"","1","54 (22.4)","48 (22.0)","6 (26.1)","","",""
"","2","20 (8.3)","20 (9.2)","0 (0.0)","","",""
"","3","5 (2.1)","4 (1.8)","1 (4.3)","","",""
"","4","1 (0.4)","1 (0.5)","0 (0.0)","","",""
"infection_terli_day0 (%)","0","161 (67.9)","146 (67.9)","15 (68.2)","1.000","","2.5"
"","1","76 (32.1)","69 (32.1)","7 (31.8)","","",""
"typeinfection_terli_day0 (%)","1","6 (7.9)","5 (7.2)","1 (14.3)","0.431","","68.7"
"","2","7 (9.2)","6 (8.7)","1 (14.3)","","",""
"","3","12 (15.8)","10 (14.5)","2 (28.6)","","",""
"","4","28 (36.8)","25 (36.2)","3 (42.9)","","",""
"","5","23 (30.3)","23 (33.3)","0 (0.0)","","",""
"hrs_responders (%)","0","109 (44.9)","95 (43.2)","14 (60.9)","0.066","","0.0"
"","1","62 (25.5)","55 (25.0)","7 (30.4)","","",""
"","2","72 (29.6)","70 (31.8)","2 (8.7)","","",""
"dosechange_terli_day1 (%)","0","177 (95.2)","162 (96.4)","15 (83.3)","0.060","","23.5"
"","1","9 (4.8)","6 (3.6)","3 (16.7)","","",""
"dosechange_terli_day2 (%)","0","157 (93.5)","143 (93.5)","14 (93.3)","1.000","","30.9"
"","1","11 (6.5)","10 (6.5)","1 (6.7)","","",""
"dosechange_terli_day3 (%)","0","110 (83.3)","101 (82.8)","9 (90.0)","0.883","","45.7"
"","1","22 (16.7)","21 (17.2)","1 (10.0)","","",""
"dosechange_terli_day4 (%)","0","60 (80.0)","56 (80.0)","4 (80.0)","1.000","","69.1"
"","1","15 (20.0)","14 (20.0)","1 (20.0)","","",""
"dosechange_terli_day5 (%)","0","54 (94.7)","52 (94.5)","2 (100.0)","1.000","","76.5"
"","1","3 (5.3)","3 (5.5)","0 (0.0)","","",""
"dosechange_terli_day6 (%)","0","38 (90.5)","37 (92.5)","1 (50.0)","0.445","","82.7"
"","1","4 (9.5)","3 (7.5)","1 (50.0)","","",""
"dosechange_terli_day7 (%)","0","32 (91.4)","31 (93.9)","1 (50.0)","0.393","","85.6"
"","1","3 (8.6)","2 (6.1)","1 (50.0)","","",""
"dosechange_terli_day8 (%)","0","21 (95.5)","20 (95.2)","1 (100.0)","1.000","","90.9"
"","1","1 (4.5)","1 (4.8)","0 (0.0)","","",""
"dosechange_terli_day9 (%)","0","17 (100.0)","16 (100.0)","1 (100.0)","NA","","93.0"
"dosechange_terli_day10 (%)","0","11 (91.7)","10 (90.9)","1 (100.0)","1.000","","95.1"
"","1","1 (8.3)","1 (9.1)","0 (0.0)","","",""
"dosechange_terli_day11 (%)","0","8 (88.9)","8 (88.9)","0 (NaN)","NaN","","96.3"
"","1","1 (11.1)","1 (11.1)","0 (NaN)","","",""
"dosechange_terli_day12 (%)","0","6 (100.0)","6 (100.0)","0 (NaN)","NA","","97.5"
"discont_aki_stage (%)","0","71 (29.2)","69 (31.4)","2 (8.7)","0.091","","0.0"
"","1","63 (25.9)","57 (25.9)","6 (26.1)","","",""
"","2","58 (23.9)","49 (22.3)","9 (39.1)","","",""
"","3","51 (21.0)","45 (20.5)","6 (26.1)","","",""
"aclf_grade (%)","1","49 (20.2)","47 (21.4)","2 (8.7)","0.196","","0.0"
"","2","85 (35.0)","78 (35.5)","7 (30.4)","","",""
"","3","109 (44.9)","95 (43.2)","14 (60.9)","","",""
"HRS_Criteria (%)","0","112 (46.1)","106 (48.2)","6 (26.1)","0.071","","0.0"
"","1","131 (53.9)","114 (51.8)","17 (73.9)","","",""
"criteria_1 (%)","0","215 (88.5)","196 (89.1)","19 (82.6)","0.560","","0.0"
"","1","28 (11.5)","24 (10.9)","4 (17.4)","","",""
"criteria_2 (%)","0","134 (55.1)","125 (56.8)","9 (39.1)","0.161","","0.0"
"","1","109 (44.9)","95 (43.2)","14 (60.9)","","",""
"criteria_3 (%)","0","233 (95.9)","212 (96.4)","21 (91.3)","0.541","","0.0"
"","1","10 (4.1)","8 (3.6)","2 (8.7)","","",""
"criteria_4 (%)","0","230 (94.7)","209 (95.0)","21 (91.3)","0.793","","0.0"
"","1","13 (5.3)","11 (5.0)","2 (8.7)","","",""
"akin (%)","1","65 (27.9)","62 (29.5)","3 (13.0)","0.168","","4.1"
"","2","70 (30.0)","60 (28.6)","10 (43.5)","","",""
"","3","98 (42.1)","88 (41.9)","10 (43.5)","","",""
"transplant_slkt (%)","0","226 (93.0)","203 (92.3)","23 (100.0)","0.341","","0.0"
"","1","17 (7.0)","17 (7.7)","0 (0.0)","","",""
"transplant_lt (%)","0","172 (70.8)","153 (69.5)","19 (82.6)","0.276","","0.0"
"","1","43 (17.7)","40 (18.2)","3 (13.0)","","",""
"","2","23 (9.5)","23 (10.5)","0 (0.0)","","",""
"","3","5 (2.1)","4 (1.8)","1 (4.3)","","",""
"rrt (%)","0","163 (67.1)","145 (65.9)","18 (78.3)","0.431","","0.0"
"","1","75 (30.9)","70 (31.8)","5 (21.7)","","",""
"","2","5 (2.1)","5 (2.3)","0 (0.0)","","",""
"rrt_2 (%)","0","168 (69.1)","150 (68.2)","18 (78.3)","0.448","","0.0"
"","1","75 (30.9)","70 (31.8)","5 (21.7)","","",""
"rrt_modality (%)","1","16 (21.3)","16 (22.9)","0 (0.0)","0.522","","69.1"
"","2","59 (78.7)","54 (77.1)","5 (100.0)","","",""
"rrt_continuous (%)","0","14 (18.7)","14 (20.0)","0 (0.0)","0.512","","69.1"
"","1","60 (80.0)","55 (78.6)","5 (100.0)","","",""
"","2","1 (1.3)","1 (1.4)","0 (0.0)","","",""
"hd_discharge (%)","0","221 (93.2)","198 (92.5)","23 (100.0)","0.357","","2.5"
"","1","16 (6.8)","16 (7.5)","0 (0.0)","","",""
"disposition (%)","1","125 (51.4)","116 (52.7)","9 (39.1)","0.708","","0.0"
"","2","23 (9.5)","21 (9.5)","2 (8.7)","","",""
"","3","19 (7.8)","16 (7.3)","3 (13.0)","","",""
"","4","25 (10.3)","22 (10.0)","3 (13.0)","","",""
"","5","51 (21.0)","45 (20.5)","6 (26.1)","","",""
"liver_f (%)","0","133 (54.7)","125 (56.8)","8 (34.8)","0.072","","0.0"
"","1","110 (45.3)","95 (43.2)","15 (65.2)","","",""
"brain_f (%)","0","217 (89.3)","195 (88.6)","22 (95.7)","0.496","","0.0"
"","1","26 (10.7)","25 (11.4)","1 (4.3)","","",""
"coagulation_f (%)","0","133 (54.7)","125 (56.8)","8 (34.8)","0.072","","0.0"
"","1","110 (45.3)","95 (43.2)","15 (65.2)","","",""
"circulatory_f (%)","0","161 (66.3)","146 (66.4)","15 (65.2)","1.000","","0.0"
"","1","82 (33.7)","74 (33.6)","8 (34.8)","","",""
"respiratory_f (%)","0","230 (94.7)","209 (95.0)","21 (91.3)","0.793","","0.0"
"","1","13 (5.3)","11 (5.0)","2 (8.7)","","",""
"kidney_f (%)","0","6 (2.5)","6 (2.7)","0 (0.0)","0.924","","0.0"
"","1","237 (97.5)","214 (97.3)","23 (100.0)","","",""
"baseline_scr_120to365 (%)","0","113 (46.9)","102 (46.6)","11 (50.0)","0.934","","0.8"
"","1","128 (53.1)","117 (53.4)","11 (50.0)","","",""
"aki_events_previous90days (%)","1","73 (76.8)","66 (76.7)","7 (77.8)","0.037","","60.9"
"","2","17 (17.9)","16 (18.6)","1 (11.1)","","",""
"","3","3 (3.2)","3 (3.5)","0 (0.0)","","",""
"","5","1 (1.1)","1 (1.2)","0 (0.0)","","",""
"","N/A","1 (1.1)","0 (0.0)","1 (11.1)","","",""
"prbc_trans_before_terli (%)","0","158 (66.9)","149 (70.0)","9 (39.1)","0.006","","2.9"
"","1","78 (33.1)","64 (30.0)","14 (60.9)","","",""
"","1","103 (42.4)","93 (42.3)","10 (43.5)","","",""
"","1","103 (42.4)","93 (42.3)","10 (43.5)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","213 (96.8)","22 (95.7)","1.000","","0.0"
"","1","8 (3.3)","7 (3.2)","1 (4.3)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","214 (97.3)","23 (100.0)","0.924","","0.0"
"","1","6 (2.5)","6 (2.7)","0 (0.0)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","217 (98.6)","23 (100.0)","1.000","","0.0"
"","1","3 (1.2)","3 (1.4)","0 (0.0)","","",""
"terli_ae_volover (%)","0","235 (96.7)","220 (100.0)","15 (65.2)","<0.001","","0.0"
"","1","8 (3.3)","0 (0.0)","8 (34.8)","","",""
"terli_ae_brady (%)","0","237 (97.5)","214 (97.3)","23 (100.0)","0.924","","0.0"
"","1","6 (2.5)","6 (2.7)","0 (0.0)","","",""
"terli_7 (%)","0","228 (93.8)","220 (100.0)","8 (34.8)","<0.001","","0.0"
"","1","15 (6.2)","0 (0.0)","15 (65.2)","","",""
"terli_8 (%)","0","240 (98.8)","217 (98.6)","23 (100.0)","1.000","","0.0"
"","1","3 (1.2)","3 (1.4)","0 (0.0)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","220 (100.0)","0 (0.0)","<0.001","","0.0"
"","1","23 (9.5)","0 (0.0)","23 (100.0)","","",""
"any_ae (%)","0","201 (82.7)","201 (91.4)","0 (0.0)","<0.001","","0.0"
"","1","42 (17.3)","19 (8.6)","23 (100.0)","","",""
"listed_transplant (%)","0","161 (66.3)","142 (64.5)","19 (82.6)","0.131","","0.0"
"","1","82 (33.7)","78 (35.5)","4 (17.4)","","",""
"dosechange_status (%)","0","196 (80.7)","177 (80.5)","19 (82.6)","1.000","","0.0"
"","1","47 (19.3)","43 (19.5)","4 (17.4)","","",""
"hrs_rebound (%)","0","172 (82.3)","154 (82.4)","18 (81.8)","1.000","","14.0"
"","1","37 (17.7)","33 (17.6)","4 (18.2)","","",""
"race_2 (%)","0","34 (14.0)","32 (14.5)","2 (8.7)","0.650","","0.0"
"","1","209 (86.0)","188 (85.5)","21 (91.3)","","",""
"HRS_reversal_new (%)","0","168 (69.1)","147 (66.8)","21 (91.3)","0.029","","0.0"
"","1","75 (30.9)","73 (33.2)","2 (8.7)","","",""
"hrs_responders_cat_2 (%)","0","109 (44.9)","95 (43.2)","14 (60.9)","0.161","","0.0"
"","1","134 (55.1)","125 (56.8)","9 (39.1)","","",""
"time_to_death_status_90days (%)","0","141 (58.0)","128 (58.2)","13 (56.5)","1.000","","0.0"
"","1","102 (42.0)","92 (41.8)","10 (43.5)","","",""
"time_to_death_status_90days_cmp (%)","0","87 (35.8)","76 (34.5)","11 (47.8)","0.180","","0.0"
"","1","99 (40.7)","89 (40.5)","10 (43.5)","","",""
"","2","57 (23.5)","55 (25.0)","2 (8.7)","","",""
"ckd_baseline (%)","0","127 (58.8)","115 (58.7)","12 (60.0)","1.000","","11.1"
"","1","89 (41.2)","81 (41.3)","8 (40.0)","","",""
"HRS_criteria_3 (%)","0","124 (51.0)","117 (53.2)","7 (30.4)","0.063","","0.0"
"","1","119 (49.0)","103 (46.8)","16 (69.6)","","",""
