"","level","Overall","0","1","p","test","Missing"
"n","","243","220","23","","",""
"days_total_mido_before_terli (median [IQR])","","5.00 [2.00, 9.00]","5.00 [2.00, 9.00]","7.00 [2.00, 8.00]","0.916","nonnorm","28.8"
"mido_maxdose_before_terli (median [IQR])","","30.00 [15.00, 45.00]","30.00 [15.00, 45.00]","30.00 [20.00, 45.00]","0.396","nonnorm","28.4"
"days_first_oct_before_terli (median [IQR])","","1.00 [0.00, 5.75]","1.00 [0.00, 6.00]","1.00 [0.00, 5.00]","0.963","nonnorm","49.8"
"days_total_oct_before_terli (median [IQR])","","4.00 [2.00, 8.75]","5.00 [1.00, 9.00]","3.00 [2.00, 5.00]","0.751","nonnorm","49.8"
"oct_maxdose_before_terli (median [IQR])","","300.00 [100.00, 600.00]","300.00 [100.00, 600.00]","150.00 [100.00, 400.00]","0.164","nonnorm","49.8"
"days_first_ne_before_terli (median [IQR])","","1.00 [0.00, 2.75]","1.00 [0.00, 3.75]","0.50 [0.00, 1.25]","0.485","nonnorm","86.0"
"days_total_ne_before_terli (median [IQR])","","4.00 [2.00, 10.75]","4.50 [1.25, 10.75]","3.50 [2.75, 11.50]","0.687","nonnorm","86.0"
"days_to_gihep_consult (median [IQR])","","1.00 [0.00, 1.00]","1.00 [0.00, 1.00]","1.00 [0.00, 2.75]","0.891","nonnorm","10.7"
"days_to_neph_consult (median [IQR])","","2.00 [1.00, 5.00]","2.00 [1.00, 5.00]","2.00 [1.00, 6.00]","0.666","nonnorm","10.3"
"days_to_pall_consult (median [IQR])","","9.00 [3.75, 16.00]","9.00 [4.00, 16.00]","11.00 [4.50, 13.50]","0.967","nonnorm","67.1"
"days_ua_hrs (median [IQR])","","1.00 [0.00, 3.25]","1.00 [0.00, 3.75]","1.00 [0.00, 2.00]","0.780","nonnorm","7.8"
"days_ua_na_hrs (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 3.00]","1.00 [1.00, 5.00]","0.493","nonnorm","14.0"
"ua_na_value_hrs (median [IQR])","","19.00 [9.00, 19.00]","19.00 [9.00, 19.00]","15.00 [9.00, 19.00]","0.213","nonnorm","14.0"
"days_ua_cr_hrs (median [IQR])","","1.00 [1.00, 5.00]","1.00 [1.00, 5.00]","1.00 [1.00, 5.00]","0.760","nonnorm","28.8"
"ua_cr_value_hrs (median [IQR])","","128.00 [93.00, 171.00]","131.00 [94.00, 171.00]","117.50 [85.95, 168.75]","0.647","nonnorm","28.8"
"days_ua_urea_hrs (median [IQR])","","1.00 [0.00, 6.00]","2.00 [0.00, 6.00]","1.00 [0.75, 1.75]","0.496","nonnorm","64.6"
"ua_urea_value_hrs (median [IQR])","","512.50 [396.25, 651.00]","517.00 [396.25, 651.00]","481.00 [416.50, 657.25]","0.888","nonnorm","64.6"
"feurea_hrs (median [IQR])","","21.19 [14.44, 29.70]","21.50 [14.71, 29.70]","19.00 [12.60, 24.54]","0.570","nonnorm","68.3"
"ua_rbc_hrs (median [IQR])","","2.00 [0.75, 10.00]","2.00 [1.00, 10.00]","4.00 [1.00, 17.50]","0.445","nonnorm","22.6"
"uaprotein_hrs (median [IQR])","","2.00 [0.13, 50.00]","1.35 [0.10, 50.00]","2.33 [0.51, 60.00]","0.517","nonnorm","50.2"
"temp_terli_day0 (median [IQR])","","36.60 [36.40, 36.80]","36.60 [36.40, 36.80]","36.70 [36.60, 36.80]","0.234","nonnorm","0.0"
"hr_terli_day0 (median [IQR])","","80.00 [67.00, 90.50]","79.50 [66.00, 90.00]","80.00 [69.50, 91.50]","0.830","nonnorm","0.0"
"pao2_terli_day0 (median [IQR])","","88.00 [79.00, 112.00]","90.80 [79.00, 112.00]","86.00 [74.50, 108.00]","0.275","nonnorm","24.3"
"fio2_terli_day0 (median [IQR])","","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.21 [0.21, 0.21]","0.322","nonnorm","6.2"
"sbp_terli_day0_time0 (median [IQR])","","106.00 [98.00, 117.00]","106.00 [98.00, 117.00]","105.00 [101.25, 114.50]","0.779","nonnorm","10.7"
"map_terli_day0_time0 (median [IQR])","","73.16 [66.08, 80.33]","73.16 [66.33, 80.42]","72.50 [65.00, 80.00]","0.638","nonnorm","0.4"
"chloride_terli_day0 (median [IQR])","","101.00 [96.00, 105.00]","101.00 [96.00, 105.00]","100.00 [95.00, 106.50]","0.828","nonnorm","0.0"
"bicarb_terli_day0 (median [IQR])","","19.00 [16.00, 21.00]","19.00 [16.00, 21.00]","20.00 [18.00, 22.00]","0.125","nonnorm","2.1"
"scr_terli_day0 (median [IQR])","","2.79 [2.27, 3.57]","2.77 [2.28, 3.57]","2.89 [2.29, 3.46]","0.803","nonnorm","0.0"
"bun_terli_day0 (median [IQR])","","54.00 [39.00, 71.00]","53.00 [39.00, 71.75]","57.00 [40.50, 66.45]","0.966","nonnorm","0.8"
"ast_terli_day0 (median [IQR])","","51.50 [33.00, 85.25]","54.00 [33.00, 85.75]","46.00 [33.25, 62.50]","0.752","nonnorm","6.2"
"alt_terli_day0 (median [IQR])","","23.00 [15.00, 34.25]","23.00 [15.00, 35.00]","21.00 [12.75, 29.75]","0.429","nonnorm","6.2"
"bili_terli_day0 (median [IQR])","","5.60 [2.58, 17.32]","5.05 [2.50, 17.10]","8.20 [4.32, 19.88]","0.304","nonnorm","6.2"
"alb_terli_day0 (median [IQR])","","3.50 [3.10, 3.82]","3.50 [3.10, 3.80]","3.60 [3.05, 3.85]","0.707","nonnorm","6.2"
"inr_terli_day0 (median [IQR])","","2.10 [1.70, 2.56]","2.02 [1.62, 2.54]","2.40 [2.24, 2.65]","0.064","nonnorm","19.8"
"wbc_terli_day0 (median [IQR])","","7.30 [5.00, 11.36]","7.25 [5.02, 11.43]","7.68 [5.00, 10.31]","0.762","nonnorm","3.7"
"hgb_terli_day0 (median [IQR])","","8.00 [7.40, 8.95]","8.10 [7.50, 9.00]","7.50 [7.25, 8.40]","0.049","nonnorm","1.6"
"Discont_Day (median [IQR])","","3.00 [2.00, 5.00]","3.00 [2.00, 6.00]","2.00 [2.00, 4.00]","0.149","nonnorm","0.0"
"na_terli_day0 (median [IQR])","","133.00 [129.00, 136.00]","132.00 [129.00, 136.00]","135.00 [130.00, 135.50]","0.527","nonnorm","0.0"
"days_to_terli_initiation_day0 (median [IQR])","","5.00 [2.00, 9.00]","5.00 [2.00, 9.00]","4.00 [2.00, 10.00]","0.835","nonnorm","0.0"
"clif_c_score (median [IQR])","","41.38 [36.19, 47.82]","41.18 [36.18, 48.02]","41.92 [37.14, 42.99]","0.876","nonnorm","3.7"
"admit_meld (median [IQR])","","27.00 [22.00, 33.00]","27.00 [22.00, 32.50]","30.00 [23.00, 33.50]","0.250","nonnorm","3.3"
"admit_meld_na (median [IQR])","","30.00 [26.00, 34.00]","30.00 [26.00, 34.00]","32.00 [24.75, 35.25]","0.379","nonnorm","4.5"
"admit_meld_3 (median [IQR])","","31.00 [27.00, 37.00]","31.00 [27.00, 36.00]","31.00 [27.50, 37.00]","0.398","nonnorm","0.0"
"admit_meld_3_raw (median [IQR])","","31.00 [26.00, 37.00]","31.00 [26.25, 36.75]","34.00 [26.00, 38.00]","0.342","nonnorm","4.1"
"day0_meld (median [IQR])","","32.00 [26.00, 37.00]","31.00 [26.00, 37.00]","33.00 [31.00, 38.00]","0.145","nonnorm","21.8"
"day0_meld_na (median [IQR])","","34.00 [28.00, 38.00]","33.00 [27.50, 37.50]","35.00 [31.00, 38.00]","0.245","nonnorm","21.8"
"day0_meld_3 (median [IQR])","","35.00 [29.00, 39.75]","35.00 [28.50, 39.00]","37.00 [32.00, 41.00]","0.251","nonnorm","23.5"
"time_to_transplant (median [IQR])","","20.00 [11.00, 41.75]","21.00 [11.00, 41.75]","15.00 [11.75, 58.50]","0.830","nonnorm","71.2"
"","1","103 (42.4)","93 (42.3)","10 (43.5)","","",""
"","1","103 (42.4)","93 (42.3)","10 (43.5)","","",""
"time_to_death_90days (median [IQR])","","90.00 [22.00, 90.00]","90.00 [25.00, 90.00]","30.00 [10.00, 90.00]","0.114","nonnorm","0.0"
"cystatinc_admit (median [IQR])","","2.89 [2.53, 3.54]","2.97 [2.63, 3.55]","2.40 [1.71, 3.05]","0.247","nonnorm","86.4"
"cystatinc_aki (median [IQR])","","2.71 [2.22, 3.54]","2.83 [2.48, 3.70]","1.87 [1.69, 2.31]","0.080","nonnorm","92.2"
"cystatinc_terli_day0 (median [IQR])","","2.91 [2.49, 3.54]","2.92 [2.59, 3.63]","2.40 [1.32, 2.84]","0.185","nonnorm","89.3"
"urine_pc (median [IQR])","","0.07 [0.00, 0.47]","0.08 [0.00, 0.46]","0.03 [0.01, 0.56]","0.526","nonnorm","56.8"
"fena (median [IQR])","","0.21 [0.12, 0.34]","0.21 [0.12, 0.34]","0.16 [0.10, 0.35]","0.398","nonnorm","34.2"
"fena_hrs (median [IQR])","","0.22 [0.14, 0.35]","0.22 [0.14, 0.35]","0.19 [0.11, 0.32]","0.402","nonnorm","31.7"
"total_albumin (median [IQR])","","62.50 [0.00, 125.00]","50.00 [0.00, 125.00]","112.50 [50.00, 200.00]","0.028","nonnorm","0.0"
"admit_admitservice (%)","1","103 (42.4)","93 (42.3)","10 (43.5)","0.012","","0.0"
"","2","42 (17.3)","39 (17.7)","3 (13.0)","","",""
"","3","83 (34.2)","78 (35.5)","5 (21.7)","","",""
"","4","8 (3.3)","6 (2.7)","2 (8.7)","","",""
"","5","7 (2.9)","4 (1.8)","3 (13.0)","","",""
"admit_admitroute (%)","1","110 (45.6)","98 (45.0)","12 (52.2)","0.699","","0.8"
"","2","98 (40.7)","89 (40.8)","9 (39.1)","","",""
"","3","33 (13.7)","31 (14.2)","2 (8.7)","","",""
"sex_male (%)","0","98 (40.3)","82 (37.3)","16 (69.6)","0.005","","0.0"
"","1","145 (59.7)","138 (62.7)","7 (30.4)","","",""
"race (%)","1","207 (85.9)","186 (85.3)","21 (91.3)","0.779","","0.8"
"","2","9 (3.7)","8 (3.7)","1 (4.3)","","",""
"","3","4 (1.7)","4 (1.8)","0 (0.0)","","",""
"","4","21 (8.7)","20 (9.2)","1 (4.3)","","",""
"hispanic (%)","0","205 (84.4)","186 (84.5)","19 (82.6)","1.000","","0.0"
"","1","38 (15.6)","34 (15.5)","4 (17.4)","","",""
"insurance_type (%)","1","50 (24.3)","47 (25.5)","3 (13.6)","0.209","","15.2"
"","2","45 (21.8)","41 (22.3)","4 (18.2)","","",""
"","3","99 (48.1)","86 (46.7)","13 (59.1)","","",""
"","4","6 (2.9)","4 (2.2)","2 (9.1)","","",""
"","5","6 (2.9)","6 (3.3)","0 (0.0)","","",""
"cirrhosis_etiology (%)","1","135 (55.6)","121 (55.0)","14 (60.9)","0.780","","0.0"
"","2","44 (18.1)","39 (17.7)","5 (21.7)","","",""
"","3","6 (2.5)","6 (2.7)","0 (0.0)","","",""
"","4","15 (6.2)","14 (6.4)","1 (4.3)","","",""
"","5","15 (6.2)","13 (5.9)","2 (8.7)","","",""
"","6","28 (11.5)","27 (12.3)","1 (4.3)","","",""
"etoh_hepatitis (%)","0","184 (76.0)","168 (76.7)","16 (69.6)","0.612","","0.4"
"","1","58 (24.0)","51 (23.3)","7 (30.4)","","",""
"hegrade_admit (%)","0","141 (58.3)","127 (58.0)","14 (60.9)","0.138","","0.4"
"","1","65 (26.9)","59 (26.9)","6 (26.1)","","",""
"","2","25 (10.3)","24 (11.0)","1 (4.3)","","",""
"","3","6 (2.5)","6 (2.7)","0 (0.0)","","",""
"","4","5 (2.1)","3 (1.4)","2 (8.7)","","",""
"admit_ascites (%)","1","16 (6.6)","14 (6.4)","2 (8.7)","0.864","","0.4"
"","2","154 (63.6)","139 (63.5)","15 (65.2)","","",""
"","3","72 (29.8)","66 (30.1)","6 (26.1)","","",""
"htn_medical_hx (%)","0","134 (55.1)","124 (56.4)","10 (43.5)","0.336","","0.0"
"","1","109 (44.9)","96 (43.6)","13 (56.5)","","",""
"dm_medical_hx (%)","0","171 (70.4)","155 (70.5)","16 (69.6)","1.000","","0.0"
"","1","72 (29.6)","65 (29.5)","7 (30.4)","","",""
"ckd_medical_hx (%)","0","166 (68.3)","148 (67.3)","18 (78.3)","0.400","","0.0"
"","1","77 (31.7)","72 (32.7)","5 (21.7)","","",""
"cad_medical_hx (%)","0","210 (86.4)","190 (86.4)","20 (87.0)","1.000","","0.0"
"","1","33 (13.6)","30 (13.6)","3 (13.0)","","",""
"nsbb_preadmission (%)","0","191 (80.6)","174 (81.3)","17 (73.9)","0.565","","2.5"
"","1","46 (19.4)","40 (18.7)","6 (26.1)","","",""
"nsbb_type_preadmission (%)","1","13 (28.3)","10 (25.0)","3 (50.0)","0.422","","81.1"
"","2","22 (47.8)","19 (47.5)","3 (50.0)","","",""
"","3","5 (10.9)","5 (12.5)","0 (0.0)","","",""
"","4","6 (13.0)","6 (15.0)","0 (0.0)","","",""
"ace_arb_preadmission (%)","0","213 (90.6)","197 (92.9)","16 (69.6)","0.001","","3.3"
"","1","22 (9.4)","15 (7.1)","7 (30.4)","","",""
"nsaid_preadmission (%)","0","213 (91.4)","192 (91.0)","21 (95.5)","0.756","","4.1"
"","1","20 (8.6)","19 (9.0)","1 (4.5)","","",""
"diuretics_preadmission (%)","0","117 (49.6)","110 (51.6)","7 (30.4)","0.087","","2.9"
"","1","119 (50.4)","103 (48.4)","16 (69.6)","","",""
"sbp_ppx_preadmission (%)","0","167 (71.7)","152 (72.0)","15 (68.2)","0.164","","4.1"
"","1","42 (18.0)","35 (16.6)","7 (31.8)","","",""
"","2","7 (3.0)","7 (3.3)","0 (0.0)","","",""
"","3","17 (7.3)","17 (8.1)","0 (0.0)","","",""
"lactulose_preadmission (%)","0","105 (44.5)","95 (44.6)","10 (43.5)","1.000","","2.9"
"","1","131 (55.5)","118 (55.4)","13 (56.5)","","",""
"rifaximin_preadmission (%)","0","153 (65.1)","142 (66.7)","11 (50.0)","0.185","","3.3"
"","1","82 (34.9)","71 (33.3)","11 (50.0)","","",""
"mido_preadmission (%)","0","154 (66.1)","141 (66.8)","13 (59.1)","0.622","","4.1"
"","1","79 (33.9)","70 (33.2)","9 (40.9)","","",""
"ascites_previous_comp (%)","0","32 (13.2)","29 (13.2)","3 (13.0)","1.000","","0.0"
"","1","211 (86.8)","191 (86.8)","20 (87.0)","","",""
"refascites_previous_comp (%)","0","92 (45.1)","83 (44.9)","9 (47.4)","1.000","","16.0"
"","1","112 (54.9)","102 (55.1)","10 (52.6)","","",""
"he_previous_comp (%)","0","98 (40.7)","89 (40.8)","9 (39.1)","1.000","","0.8"
"","1","143 (59.3)","129 (59.2)","14 (60.9)","","",""
"sbp_previous_comp (%)","0","196 (81.3)","177 (81.2)","19 (82.6)","1.000","","0.8"
"","1","45 (18.7)","41 (18.8)","4 (17.4)","","",""
"nonsbp_previous_comp (%)","0","188 (80.0)","172 (80.8)","16 (72.7)","0.538","","3.3"
"","1","47 (20.0)","41 (19.2)","6 (27.3)","","",""
"phtn_bleed_previous_comp (%)","0","184 (76.0)","167 (76.3)","17 (73.9)","1.000","","0.4"
"","1","58 (24.0)","52 (23.7)","6 (26.1)","","",""
"hcc_previous_comp (%)","0","222 (91.7)","199 (90.9)","23 (100.0)","0.265","","0.4"
"","1","20 (8.3)","20 (9.1)","0 (0.0)","","",""
"tips_previous_comp (%)","0","222 (91.4)","202 (91.8)","20 (87.0)","0.689","","0.0"
"","1","21 (8.6)","18 (8.2)","3 (13.0)","","",""
"baseline_scr_outpt (%)","0","141 (58.3)","126 (57.5)","15 (65.2)","0.625","","0.4"
"","1","101 (41.7)","93 (42.5)","8 (34.8)","","",""
"aki_previous_90days (%)","0","143 (59.6)","130 (59.9)","13 (56.5)","0.927","","1.2"
"","1","97 (40.4)","87 (40.1)","10 (43.5)","","",""
"transfer_aki (%)","0","166 (68.6)","150 (68.5)","16 (69.6)","1.000","","0.4"
"","1","76 (31.4)","69 (31.5)","7 (30.4)","","",""
"aki_precipitant_nsbpinf (%)","2","5 (33.3)","5 (33.3)","0 (NaN)","NaN","","93.8"
"","3","5 (33.3)","5 (33.3)","0 (NaN)","","",""
"","4","5 (33.3)","5 (33.3)","0 (NaN)","","",""
"he_aki (%)","0","135 (56.7)","119 (55.1)","16 (72.7)","0.518","","2.1"
"","1","68 (28.6)","63 (29.2)","5 (22.7)","","",""
"","2","24 (10.1)","23 (10.6)","1 (4.5)","","",""
"","3","7 (2.9)","7 (3.2)","0 (0.0)","","",""
"","4","4 (1.7)","4 (1.9)","0 (0.0)","","",""
"rrt_aki (%)","0","238 (99.2)","216 (99.1)","22 (100.0)","1.000","","1.2"
"","1","2 (0.8)","2 (0.9)","0 (0.0)","","",""
"mv_aki (%)","0","234 (97.1)","212 (96.8)","22 (100.0)","0.853","","0.8"
"","1","7 (2.9)","7 (3.2)","0 (0.0)","","",""
"pressors_aki (%)","0","215 (90.0)","193 (88.9)","22 (100.0)","0.203","","1.6"
"","1","24 (10.0)","24 (11.1)","0 (0.0)","","",""
"chest_imaging (%)","0","44 (18.3)","38 (17.5)","6 (26.1)","0.467","","1.2"
"","1","196 (81.7)","179 (82.5)","17 (73.9)","","",""
"chest_imaging_pulmedema (%)","0","144 (73.5)","134 (74.9)","10 (58.8)","0.253","","19.3"
"","1","52 (26.5)","45 (25.1)","7 (41.2)","","",""
"chest_imaging_effusion (%)","0","127 (64.8)","121 (67.6)","6 (35.3)","0.016","","19.3"
"","1","69 (35.2)","58 (32.4)","11 (64.7)","","",""
"ecg (%)","0","32 (13.2)","27 (12.3)","5 (21.7)","0.345","","0.4"
"","1","210 (86.8)","192 (87.7)","18 (78.3)","","",""
"echo (%)","0","64 (26.6)","57 (26.1)","7 (30.4)","0.846","","0.8"
"","1","177 (73.4)","161 (73.9)","16 (69.6)","","",""
"albumin_before_terli (%)","0","24 (9.9)","21 (9.5)","3 (13.0)","0.867","","0.0"
"","1","219 (90.1)","199 (90.5)","20 (87.0)","","",""
